"map_id","benchmark_id","distances","fscores","precisions","recalls"
,"GTSuite-chris-gg-park-video-583366999542_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64",,,,
,"GTSuite-chris-gg-park-video-583362563275_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64",,,,
,"GTSuite-chris-office-6-scans-video-576721897501_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128",,,,
,"GTSuite-chris-gg-park-video-583362563275_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128",,,,
,"GTSuite-chris-small-office-6-scans-video-576721897501_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64",,,,
,"GTSuite-chris-201-spear-video-577761731441_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128",,,,
,"GTSuite-chris-office-6-scans-video-576721897501_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64",,,,
,"GTSuite-chris-small-office-6-scans-video-576721897501_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128",,,,
,"GTSuite-chris-201-spear-video-577758970062_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128",,,,
,"GTSuite-chris-201-spear-video-577758970062_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64",,,,
,"GTSuite-chris-office-6-scans-video-576724639910_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64",,,,
,"GTSuite-chris-office-6-scans-video-576724639910_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128",,,,
